Timestamp,URL,Method,Status,Type,ContentType,Size,Blocked,BlockedBy
2026-01-15 17:48:43,https://securepubads.g.doubleclick.net/pcs/view?xai=AKAOjstQEWeDobNgJGtNHCQGdkKhn16Lv8eNV5RwNvq7VisxdGk0mvClkoyedC40vLuiCDLo1xnDhUJtWL8SnO9MhGoJZB5wwNuDCljeGcHC0PPbmFO4Hd5faderotik1Z9K4xrXW8hpJbpRNhrihmvPxHcNC8-4gxOi5jPFrdwnnaysoVtx7BG2k54VxOnr2nEoxB7Z7pgFxOpPWgIeaSZ68vvFPkO4nSDgSYsgbT-P8TuIZwoTjbFwPSNM1TQwP23EeY6ZNLB4EbrAyPTvkjhVIaPS-hbAmbR-qFa7rlMgsnptk9X4nz-tx4V6QXoy5x1X543-3-Oi97y87m4H664l1hBb8tJJQeHt4c9j6y3hyLGSM8eMMoDZZzcQTQEFTxn0WhCcFzD6i3HloxlbMdBJ92aRgVkfVdqOc64lMvnq47UgUvuN2bepU1vsqB5I6sXBBPUJHA&sai=AMfl-YSHmyP5eEApiaBoL0vmDkSI8yDGxIFZt3EfPz_9HySm8Tmyn-6FoRp0gHj0ulSfUwTd8jHwG_MJW11dUuxZ0781nUyt56Y5gESLL6VRP4i5Kae7tpkgegAYiUyRiSii_z5S1QmKQa_fLO6TzgIWOEW_&sig=Cg0ArKJSzF8W6gQDfV2HEAE&uach_m=%5BUACH%5D&urlfix=1&adurl=https://s.cdn.turner.com/ads/1x1.gif,GET,,Image,,,No,
2026-01-15 17:48:43,https://i.cdn.turner.com/ads/adspaces/CNNIntl/2025/09/24/918443157/CNN-HPP-Banner-300x250-B/CNN-HPP-Banner-300x250-B.html?clickMacro=https://adclick.g.doubleclick.net/pcs/click%253Fxai%253DAKAOjsvI7dkWyho2RSgMwWcCR8Xcxe8WYt65G5R28CpuujKqccwwVKDvn7z3V1u0TI2eCV0xnYvRyCBUqOQZ3GeTAslL9m0jR_D6bVWaXHwgjdbe8p_MydVxn3aJlr_Yj_-mQNyJdWw4Uh_RBqQ-1xS5nbrPBZZYa0Z1HX8d7Q15ihpEXuTP7Wnjjnz9dIvQszaMIOgZM5Y_tQCPX4jmdhzGMO-6C6X_aIAnFxeWekDu_rYciQrPEESHUr4_FlaDr3XBUXYEfmQNzgnD9-Tc-hzV8uE9vOgtItl16pDrQ5VeIx2cMJR4Qn9YGlAJq0jLMJLr73xwmdSrd9Mnm3SQ2HHkLGYXlCQ1_vaCYzqxGHRfsI1VP3KSnZBfCaa5UE2Mt_RLwptsfy2suFs-Ux18s-97ecY9nT01_E5uUuWakKwRx0p99w%2526sai%253DAMfl-YQeNPenLhY5U7cXI3COtAuez1e58JMBnPpRg0rgAwRBDzKpFlSp1hTllKuEdV6BTPXQ8qFWerE_HSC0pKbg4HxxYMgoqwQyH6S9RkTGdWP8MrQHgQYfZVmOPDEYsLSKE_KxDBvzsf9WcJuIR0rRaAw6%2526sig%253DCg0ArKJSzA1iE2oWDqscEAE%2526fbs_aeid%253D%25255Bgw_fbsaeid%25255D%2526urlfix%253D1%2526adurl%253D&clickTag=https://www.cnnpartners.com/,GET,,Document,,,No,
2026-01-15 17:48:43,https://pagead2.googlesyndication.com/pagead/managed/js/activeview/current/ufs_web_display.js,GET,,Script,,,Yes,00000000-0000-0000-0000-000000000003
2026-01-15 17:48:43,https://tpc.googlesyndication.com/pagead/js/r20260114/r20110914/abg_lite_fy2021.js,GET,,Script,,,Yes,00000000-0000-0000-0000-000000000003
2026-01-15 17:48:43,https://securepubads.g.doubleclick.net/gampad/ads?pvsid=519642041441363&correlator=2078076569842393&eid=31096240%2C31096241%2C31096296%2C83321072&output=ldjh&gdfp_req=1&vrg=202601140101&ptt=17&impl=fifs&gdpr_consent=CQeELLAQeELLAAcABBENCNFgAP_AAAAAAAwIKdwMIAFAAaABUADMAHwAhABIAC4AGQANIAeAB6AEUAJMATABNACgAFIALYAYYBBgEIAI6AUYBSACtAHcAPYAgEBBwEIAIsAR0AkoBOwCkgFiALSAXUA6oCDAEagJiAToAtGBeQF5gMWAYyAywBl4DVQG6gOCAkiBTsAAABgSAeAAsACoAIIAZABoADwAJgAhABHACtAHcAPYAgABJQF5gN1CABAASAEHAXkAxYdAUAAWABUAEAALoAZABoADwAJgAjgBRgCtAHcAPYAiwBHQCSgFiAXmAywBqoDdRwAUAEgBAICDgIQAmIBixCAKAAsAFwA7gFogNVIAAgCxALyJQCQAFgAkAB4AEwARwAowBWgLzAZYSACgDuAIAAQcBMQDFikA8ABYAFQAQQAyADQAHgATABHACjAFaARYAjoBJQF5gMsAbqUAEgAkABcAO4AgABBwCxAJiAXkAxYtABAHcWAAgJiA.f_gAAAAAAAAA.IKdwMYAFAAaABUADMAHwAhABIAC4AGQANIAeAB6AEUAJMATABNACgAFIALYAYYBBgEIAI6AUYBSACtAHcAPYAgEBBwEIAIsAR0AkoBOwCkgFiALSAXUAz4B1QEGAI1ATEAnQBaMC8gLzAYsAxkBlgDLwGqgN1AcEBJECnYAA&gdpr=1&us_privacy=1---&iu_parts=8663477%2CCNNi%2Chomepage%2Clanding&enc_prev_ius=%2F0%2F1%2F2%2F3&prev_iu_szs=320x50%7C300x250%7C1x2&fluid=height&ifi=3&didk=3084472110&dids=ad_rect_atf_01&adfs=2186095832&sfv=1-0-45&eri=1&sc=1&cookie=ID%3Db39376078c5e1b11%3AT%3D1768499103%3ART%3D1768499103%3AS%3DALNI_MYMh1U5jdfcURdcLCrFTn9S9GliLg&gpic=UID%3D000012f7e73608b6%3AT%3D1768499103%3ART%3D1768499103%3AS%3DALNI_MblPKPQJGBcpTpCIXtSn8OvmDVB0w&abxe=1&dt=1768499323141&lmt=1768499323&adxs=1251&adys=1218&biw=1729&bih=1038&scr_x=0&scr_y=0&btvi=3&ucis=3&oid=2&u_his=14&u_h=1152&u_w=2048&u_ah=1114&u_aw=2048&u_cd=24&u_sd=1.25&u_tz=120&dmc=8&bc=31&nvt=2&uach=WyJXaW5kb3dzIiwiMTkuMC4wIiwieDg2IiwiIiwiMTQzLjAuMzY1MC4xMzkiLG51bGwsMCxudWxsLCI2NCIsW1siTWljcm9zb2Z0IEVkZ2UgV2ViVmlldzIiLCIxNDMuMC4zNjUwLjEzOSJdLFsiTWljcm9zb2Z0IEVkZ2UiLCIxNDMuMC4zNjUwLjEzOSJdLFsiQ2hyb21pdW0iLCIxNDMuMC43NDk5LjE5MyJdLFsiTm90IEEoQnJhbmQiLCIyNC4wLjAuMCJdXSwwXQ..&url=https%3A%2F%2Fedition.cnn.com%2F&ref=https%3A%2F%2Fwww.google.com%2F&vis=1&psz=317x294&msz=300x0&fws=132&ohw=1728&a3p=EoIDCgxpZDUtc3luYy5jb20S7wJJRDUqMFNVc2dERlVablY5VV9NTHM0elRjRmg1NldMWG1YM05Xal9UaExKWEdzUF9fMmxwSjU5YUFBRUJDbWs4SzdvQWU2SE8xamUwOFZjTi1EZ0hra3pKNjN1RUlvdTBpWXVJenY0X2loVHg2aGQ3eUR6U1d1N21jUkZMd0tLZjN3R1hlNm10TnF1Zk95bnQ3RU5MZXUxODhIdXFFTmJENjBCNEktOEtYVlpnNERKN3JDRDViMnZqY2laZ2U2TjJZQTg3ZTNVNlB4d3RjSGpmMnBPSzhDT2RkWHQybUhQZGFBQy1xWFFxb2tNVXVMaDd0N0hXR05VQjU4R0tTODRMVUhpRWU1Z29Tb0JKVjBDUkIxQ05EVUZOZkh0NmZtMEpfWDJDa2R5Z2VwUlJIXzE3ZkNIbDFvb3IzUldhbGYzSjBhQ0FlN3dNblBqamxWdjhORmd1UW1qSXFudTlvR0xRX05Ea1h1bEdJOFpzcUZJWAE.&psd=WzMxLFtdXQ..&dlt=1768499321752&idt=577&ppid=8c986c4d-ae63-46d4-a534-1a7df53f1145&prev_scp=id%3D6e76f53d-f23a-11f0-8d64-a6d447c15f9e%26vw%3D40%2C50%2C60%26hb_crid%3D702341329%26hb_adomain%3Dmega-image.ro%26hb_format%3Dbanner%26hb_source%3Dclient%26hb_size%3D300x250%26hb_pb%3D0.16%26hb_adid%3D5968a62c27a15e38-0-oz-0%26hb_bidder%3Dozone%26oz_size%3D300x250%26oz_adId%3D5968a62c27a15e38-0-oz-0%26oz_pb_r%3D0.16%26oz_pb%3D0.163%26oz_pb_v%3D4.0.0%26oz_imp_id%3D5968a62c27a15e38%26oz_uuid%3Dno-id%26oz_cache_id%3Dno-id%26oz_bid%3Dtrue%26oz_winner%3Dozone%26oz_auc_id%3Dedea0efe-c789-43e2-9d52-f61a7f1493c8%26oz_ozone_size%3D300x250%26oz_ozone_pb_r%3D0.16%26oz_ozone_adId%3D5968a62c27a15e38-0-oz-0%26oz_ozone_adv%3Dmega-image.ro%26oz_ozone_crid%3D702341329%26oz_ozone%3Dozone%26hb_crid_ozone%3D702341329%26hb_adomain_ozone%3Dmega-image.ro%26hb_format_ozone%3Dbanner%26hb_source_ozone%3Dclient%26hb_size_ozone%3D300x250%26hb_pb_ozone%3D0.16%26hb_adid_ozone%3D5968a62c27a15e38-0-oz-0%26hb_bidder_ozone%3Dozone%26pos%3Drect_atf_01&cust_params=bmb%3Dind_5%252Cre_1%252Csz_1%252Cre_business_test_24022025%252Cre_business_test_24022025%26wmuk%3D8c986c4d-ae63-46d4-a534-1a7df53f1145%26kit_rw%3Dff%26fr%3Dfalse%26adt%3DveryLow%26alc%3DveryLow%26dlm%3DveryLow%26drg%3DveryLow%26hat%3DveryLow%26off%3DveryLow%26vio%3Dlow%26ias-kw%3DIAS_1506827_PG%252CIAS_1509996_PG%252CIAS_1506829_PG%252CIAS_1500792_PG%252CIAS_3015467_PG%252CIAS_1512790_PG%252CIAS_1506564_PG%252CIAS_3010239_PG%252CIAS_1500863_PG%252CIAS_1500672_PG%252CIAS_1508341_PG%252CIAS_1508986_PG%252CIAS_1513741_PG%252CIAS_1500903_PG%252CIAS_1506724_PG%252CIAS_1513911_PG%252CIAS_1508970_PG%252CIAS_3011902_PG%252CIAS_1506123_PG%252CIAS_1506828_PG%252CIAS_1507080_PG%252CIAS_1511377_PG%252CIAS_SET%252CIAS_1509981_PG%252CIAS_1500671_PG%252CIAS_1500692_PG%252CIAS_1510285_PG%252CIAS_1500902_PG%252CIAS_1507653_PG%252CIAS_1508285_PG%26permutive%3D184515%252C184559%252C220122%252C249221%252C88584%252Crts%252Crts%26prmtvsdk%3Dweb%26wm_vw%3Dstlr%26spec%3D%26pg%3Dlanding_homepage%26transId%3D17684993224846498827682879%26hbg%3DEU%26pconid%3D300003%252C210001%252Cpa_eye161%252Cpa_eye203%252Cpa_eye101%252Cpa_eye110%252Cpa_sig00013%252Cpa_eye157%252Cpa_eye159%252Cpa_tuMA2800%252Cpa_eye240%252Cpa_eye160%252Cpa_eye90%252Cpa_eye97%252Cpa_p1023%252Cpa_eye162%252Cpa_plk0039%252Cpa_p1041%252Cpa_eye243%252Cpa_eye83%252Cpa_eye112%252Cpa_eye111%252Cpa_eye108%252Cpa_eye257%252Cpa_p1025%252Cdem2021%252Cdem3005%252C112200%252C112208%252C121100%252C121101%252C121103%252C120000%252C120003%252C6oq81h%252Cjx3gvg%252Ccz0nps%252Cojf1jg%252Co1zrte%252Cgoghls%252Cxzox48%252Culjdw0%252Cn2mpux%252C6ks868%252Ctgjzk4%252C3tzrc2%252Csr3lz5%252Cv4eg8v%252Cemrsya%252C4ea65v%252Cn67xo1%252Cdzvnda%252Cpnv48t%252C5jm4ip%252Cf8ncps%252Cpczk0c%252C16rmye%252C620d92%252Cxj73xy%252Ct8u89x%26guid%3D6969279f09d6f40a3f92cb0017187a2c%26cep_sent%3D16B6%26source_id%3Dsection_homepage1%26short_source_id%3Dse_homepage1%26protocol%3Dssl%26refdom%3Dgoogle%26cep_brsf%3D%26cep_iabt%3D%26cep_tags%3D&adks=2325541940&frm=20&eo_id_str=ID%3D39369306b4a7b505%3AT%3D1768499103%3ART%3D1768499103%3AS%3DAA-AfjaD_1-K-4kn-p_N1_4Qz3k6&gblpids=CNNi%2Fhomepage%2Flanding%23rect_atf_01&pb_szs=300x250&pgls=CAk.,GET,200,Other,text/plain; charset=UTF-8,9131,No,
2026-01-15 17:48:43,https://pagead2.googlesyndication.com/pagead/ping?e=1,POST,403,Other,text/plain,,No,
2026-01-15 17:48:43,https://pagead2.googlesyndication.com/pagead/ping?e=1,POST,,XHR,,,Yes,00000000-0000-0000-0000-000000000003
2026-01-15 17:48:43,https://tpc.googlesyndication.com/pagead/images/adchoices/adchoices_blue_wb.png,GET,403,Image,text/plain,,No,
2026-01-15 17:48:43,https://tpc.googlesyndication.com/pagead/images/adchoices/en.png,GET,403,Image,text/plain,,No,
2026-01-15 17:48:43,https://tpc.googlesyndication.com/daca_images/simgad/2771345385311286029,GET,403,Other,text/plain,,No,
